StateFIPS,PUMA,CongressionalDistrict,StateAbbreviation,Population2016,PUMAWgt
6,7314,53,CA,112673.083,0.709
6,7315,52,CA,95713.007,0.591
6,7315,53,CA,66361.132,0.409
6,7316,51,CA,39295.54,0.221
6,7316,52,CA,34043.415,0.192
6,7316,53,CA,104132.485,0.587
6,7317,51,CA,95560.803,0.547
6,7317,53,CA,79197.754,0.453
6,7318,51,CA,82079.992,0.491
6,7318,53,CA,84921.498,0.509
6,7319,50,CA,24738.58,0.178
6,7319,51,CA,7852.462,0.056
6,7319,53,CA,106504.516,0.766
6,7320,50,CA,0,0
6,7320,51,CA,2250.911,0.016
6,7320,53,CA,142793.482,0.984
6,7321,51,CA,186023.828,1
6,7322,51,CA,144609.217,1
6,7322,53,CA,0,0
6,7501,12,CA,148100.595,1
6,7501,14,CA,0,0
6,7502,12,CA,115753.07,1
6,7502,13,CA,0,0
6,7503,12,CA,139588.942,1
6,7504,12,CA,115334.517,1
6,7505,12,CA,110802.9,0.973
6,7505,14,CA,3121.3,0.027
6,7506,12,CA,26692.197,0.223
6,7506,14,CA,93173.937,0.777
6,7507,12,CA,103941.664,0.878
6,7507,14,CA,14377.879,0.122
6,7701,9,CA,186222.129,1
6,7702,9,CA,162746.43,1
6,7703,9,CA,33046.058,0.158
6,7703,10,CA,176300.603,0.842
6,7704,9,CA,149932.063,0.855
6,7704,10,CA,25461.717,0.145
6,7901,24,CA,171061.251,1
6,7902,24,CA,111825.749,1
6,8101,14,CA,146153.786,1
6,8102,14,CA,124951.976,1
6,8103,14,CA,110983.499,1
6,8104,14,CA,122556.832,0.97
6,8104,18,CA,3804.552,0.03
6,8105,14,CA,91855.35,0.678
6,8105,18,CA,43597.999,0.322
6,8106,14,CA,42815.585,0.354
6,8106,18,CA,78077.42,0.646
6,8301,24,CA,128069.878,1
6,8302,24,CA,107939.89,1
6,8303,24,CA,210160.232,1
6,8501,17,CA,1153.812,0.005
6,8501,18,CA,209268.708,0.995
6,8502,17,CA,157955.864,1
6,8502,18,CA,0,0
6,8503,17,CA,133691.342,0.953
6,8503,18,CA,4463.345,0.032
6,8503,19,CA,2193.427,0.016
6,8504,17,CA,138962.679,1
6,8505,17,CA,29847.204,0.261
6,8505,19,CA,84392.013,0.739
6,8506,17,CA,0,0
6,8506,18,CA,0,0
6,8506,19,CA,97794.976,0.823
6,8506,20,CA,21034.711,0.177
6,8507,17,CA,67441.43,0.458
6,8507,18,CA,79672.266,0.542
6,8508,17,CA,19050.284,0.133
6,8508,18,CA,124688.163,0.867
6,8509,17,CA,0,0
6,8509,18,CA,22568.817,0.172
6,8509,19,CA,108653.303,0.828
6,8510,18,CA,27689.328,0.171
6,8510,19,CA,134408.839,0.829
6,8511,18,CA,58478.112,0.521
6,8511,19,CA,53802.535,0.479
6,8512,18,CA,50292.62,0.443
6,8512,19,CA,63256.035,0.557
6,8513,19,CA,117302.044,1
6,8514,17,CA,15889.421,0.143
6,8514,19,CA,95450.723,0.857
6,8701,18,CA,51551.829,0.347
6,8701,20,CA,97046.618,0.653
6,8702,18,CA,85.841,0.001
6,8702,20,CA,125988.712,0.999
6,8900,1,CA,179631,1
6,9501,3,CA,0,0
6,9501,5,CA,154250.942,1
6,9502,3,CA,146428.595,0.99
6,9502,5,CA,1407.916,0.01
6,9503,3,CA,138119.547,1
6,9701,2,CA,128251.774,0.689
6,9701,5,CA,57934.175,0.311
6,9702,2,CA,64743.967,0.518
6,9702,5,CA,60174.648,0.482
6,9703,2,CA,3.119,0
6,9703,5,CA,191962.316,1
6,9901,10,CA,119540.422,1
6,9902,10,CA,124689.134,1
6,9903,9,CA,0,0
6,9903,10,CA,183293.49,1
6,9904,10,CA,114036.954,1
6,10100,3,CA,171926,1
6,10701,22,CA,141592.664,1
6,10702,22,CA,72984.084,0.469
6,10702,23,CA,82669.131,0.531
6,10703,21,CA,36190.068,0.222
6,10703,22,CA,111880.467,0.686
6,10703,23,CA,15120.586,0.093
6,11101,25,CA,107632.503,0.921
6,11101,26,CA,9229.978,0.079
6,11101,30,CA,0,0
6,11102,25,CA,641.96,0.004
6,11102,26,CA,152134.145,0.982
6,11102,30,CA,2114.752,0.014
6,11103,26,CA,201655.872,1
6,11104,24,CA,8237.108,0.067
6,11104,26,CA,114965.5,0.933
6,11105,24,CA,1435.637,0.012
6,11105,25,CA,12750.436,0.103
6,11105,26,CA,109363.317,0.885
6,11106,24,CA,0,0
6,11106,25,CA,0,0
6,11106,26,CA,129576.793,1
6,11300,3,CA,163429.06,0.757
6,11300,6,CA,52372.94,0.243
8, , ,CO,0, 
8,100,4,CO,110224.942,1
8,102,2,CO,130677.682,1
8,103,2,CO,209315.318,1
8,200,3,CO,103189,1
8,300,4,CO,201773.967,1
8,400,2,CO,60520.475,0.511
8,400,3,CO,57959.525,0.489
8,600,2,CO,8468.602,0.079
8,600,3,CO,23735.575,0.221
8,600,5,CO,75201.398,0.7
8,700,3,CO,156576.338,1
8,700,5,CO,0,0
8,800,3,CO,50812.086,0.515
8,800,4,CO,47888,0.485
8,801,2,CO,97030.358,0.895
8,801,7,CO,11415.494,0.105
8,802,2,CO,22195.173,0.129
8,802,4,CO,150181.553,0.871
8,803,2,CO,124543.472,1
